,County,Battery Electric Vehicles (BEVs),Month,Year
0,Adams,1,1,2017
1,Asotin,4,1,2017
2,Benton,129,1,2017
3,Chelan,54,1,2017
4,Clallam,73,1,2017
5,Clark,673,1,2017
6,Columbia,0,1,2017
7,Cowlitz,51,1,2017
8,Douglas,29,1,2017
9,Ferry,2,1,2017
10,Franklin,27,1,2017
11,Garfield,0,1,2017
12,Grant,16,1,2017
13,Grays Harbor,27,1,2017
14,Island,104,1,2017
15,Jefferson,87,1,2017
16,King,8810,1,2017
17,Kitsap,557,1,2017
18,Kittitas,15,1,2017
19,Klickitat,20,1,2017
20,Lewis,43,1,2017
21,Lincoln,2,1,2017
22,Mason,48,1,2017
23,Okanogan,3,1,2017
24,Pacific,5,1,2017
25,Pend Oreille,1,1,2017
26,Pierce,822,1,2017
27,San Juan,84,1,2017
28,Skagit,107,1,2017
29,Skamania,7,1,2017
30,Snohomish,1550,1,2017
31,Spokane,222,1,2017
32,Stevens,6,1,2017
33,Thurston,336,1,2017
34,Wahkiakum,0,1,2017
35,Walla Walla,16,1,2017
36,Whatcom,385,1,2017
37,Whitman,8,1,2017
38,Yakima,36,1,2017
39,Adams,2,2,2017
40,Asotin,4,2,2017
41,Benton,134,2,2017
42,Chelan,55,2,2017
43,Clallam,75,2,2017
44,Clark,695,2,2017
45,Columbia,0,2,2017
46,Cowlitz,50,2,2017
47,Douglas,30,2,2017
48,Ferry,2,2,2017
49,Franklin,26,2,2017
50,Garfield,0,2,2017
51,Grant,16,2,2017
52,Grays Harbor,27,2,2017
53,Island,100,2,2017
54,Jefferson,89,2,2017
55,King,9104,2,2017
56,Kitsap,562,2,2017
57,Kittitas,15,2,2017
58,Klickitat,20,2,2017
59,Lewis,45,2,2017
60,Lincoln,2,2,2017
61,Mason,47,2,2017
62,Okanogan,3,2,2017
63,Pacific,5,2,2017
64,Pend Oreille,1,2,2017
65,Pierce,862,2,2017
66,San Juan,88,2,2017
67,Skagit,114,2,2017
68,Skamania,7,2,2017
69,Snohomish,1605,2,2017
70,Spokane,227,2,2017
71,Stevens,6,2,2017
72,Thurston,351,2,2017
73,Wahkiakum,0,2,2017
74,Walla Walla,17,2,2017
75,Whatcom,403,2,2017
76,Whitman,8,2,2017
77,Yakima,36,2,2017
78,Adams,2,3,2017
79,Asotin,5,3,2017
80,Benton,140,3,2017
81,Chelan,55,3,2017
82,Clallam,77,3,2017
83,Clark,718,3,2017
84,Columbia,0,3,2017
85,Cowlitz,51,3,2017
86,Douglas,29,3,2017
87,Ferry,2,3,2017
88,Franklin,26,3,2017
89,Garfield,0,3,2017
90,Grant,17,3,2017
91,Grays Harbor,27,3,2017
92,Island,105,3,2017
93,Jefferson,94,3,2017
94,King,9323,3,2017
95,Kitsap,573,3,2017
96,Kittitas,17,3,2017
97,Klickitat,21,3,2017
98,Lewis,45,3,2017
99,Lincoln,2,3,2017
100,Mason,50,3,2017
101,Okanogan,3,3,2017
102,Pacific,6,3,2017
103,Pend Oreille,1,3,2017
104,Pierce,876,3,2017
105,San Juan,88,3,2017
106,Skagit,119,3,2017
107,Skamania,8,3,2017
108,Snohomish,1657,3,2017
109,Spokane,233,3,2017
110,Stevens,6,3,2017
111,Thurston,365,3,2017
112,Wahkiakum,0,3,2017
113,Walla Walla,20,3,2017
114,Whatcom,418,3,2017
115,Whitman,9,3,2017
116,Yakima,36,3,2017
117,Adams,2,4,2017
118,Asotin,6,4,2017
119,Benton,143,4,2017
120,Chelan,55,4,2017
121,Clallam,80,4,2017
122,Clark,755,4,2017
123,Columbia,0,4,2017
124,Cowlitz,52,4,2017
125,Douglas,31,4,2017
126,Ferry,2,4,2017
127,Franklin,27,4,2017
128,Garfield,0,4,2017
129,Grant,18,4,2017
130,Grays Harbor,29,4,2017
131,Island,108,4,2017
132,Jefferson,98,4,2017
133,King,9564,4,2017
134,Kitsap,585,4,2017
135,Kittitas,21,4,2017
136,Klickitat,22,4,2017
137,Lewis,46,4,2017
138,Lincoln,2,4,2017
139,Mason,49,4,2017
140,Okanogan,3,4,2017
141,Pacific,9,4,2017
142,Pend Oreille,1,4,2017
143,Pierce,917,4,2017
144,San Juan,98,4,2017
145,Skagit,124,4,2017
146,Skamania,9,4,2017
147,Snohomish,1710,4,2017
148,Spokane,237,4,2017
149,Stevens,8,4,2017
150,Thurston,385,4,2017
151,Wahkiakum,0,4,2017
152,Walla Walla,22,4,2017
153,Whatcom,443,4,2017
154,Whitman,9,4,2017
155,Yakima,38,4,2017
156,Adams,2,5,2017
157,Asotin,6,5,2017
158,Benton,146,5,2017
159,Chelan,60,5,2017
160,Clallam,84,5,2017
161,Clark,770,5,2017
162,Columbia,0,5,2017
163,Cowlitz,52,5,2017
164,Douglas,32,5,2017
165,Ferry,1,5,2017
166,Franklin,28,5,2017
167,Garfield,0,5,2017
168,Grant,20,5,2017
169,Grays Harbor,31,5,2017
170,Island,113,5,2017
171,Jefferson,103,5,2017
172,King,9802,5,2017
173,Kitsap,596,5,2017
174,Kittitas,22,5,2017
175,Klickitat,22,5,2017
176,Lewis,49,5,2017
177,Lincoln,2,5,2017
178,Mason,51,5,2017
179,Okanogan,3,5,2017
180,Pacific,9,5,2017
181,Pend Oreille,2,5,2017
182,Pierce,933,5,2017
183,San Juan,104,5,2017
184,Skagit,135,5,2017
185,Skamania,9,5,2017
186,Snohomish,1740,5,2017
187,Spokane,246,5,2017
188,Stevens,8,5,2017
189,Thurston,390,5,2017
190,Wahkiakum,0,5,2017
191,Walla Walla,23,5,2017
192,Whatcom,457,5,2017
193,Whitman,10,5,2017
194,Yakima,42,5,2017
195,Adams,2,6,2017
196,Asotin,6,6,2017
197,Benton,148,6,2017
198,Chelan,67,6,2017
199,Clallam,90,6,2017
200,Clark,787,6,2017
201,Columbia,1,6,2017
202,Cowlitz,50,6,2017
203,Douglas,34,6,2017
204,Ferry,1,6,2017
205,Franklin,26,6,2017
206,Garfield,0,6,2017
207,Grant,20,6,2017
208,Grays Harbor,35,6,2017
209,Island,117,6,2017
210,Jefferson,104,6,2017
211,King,10033,6,2017
212,Kitsap,606,6,2017
213,Kittitas,21,6,2017
214,Klickitat,23,6,2017
215,Lewis,51,6,2017
216,Lincoln,2,6,2017
217,Mason,56,6,2017
218,Okanogan,4,6,2017
219,Pacific,10,6,2017
220,Pend Oreille,3,6,2017
221,Pierce,956,6,2017
222,San Juan,107,6,2017
223,Skagit,141,6,2017
224,Skamania,9,6,2017
225,Snohomish,1794,6,2017
226,Spokane,254,6,2017
227,Stevens,8,6,2017
228,Thurston,398,6,2017
229,Wahkiakum,0,6,2017
230,Walla Walla,25,6,2017
231,Whatcom,464,6,2017
232,Whitman,10,6,2017
233,Yakima,45,6,2017
234,Adams,3,7,2017
235,Asotin,8,7,2017
236,Benton,155,7,2017
237,Chelan,68,7,2017
238,Clallam,93,7,2017
239,Clark,795,7,2017
240,Columbia,1,7,2017
241,Cowlitz,52,7,2017
242,Douglas,35,7,2017
243,Ferry,1,7,2017
244,Franklin,26,7,2017
245,Garfield,0,7,2017
246,Grant,19,7,2017
247,Grays Harbor,36,7,2017
248,Island,121,7,2017
249,Jefferson,107,7,2017
250,King,10260,7,2017
251,Kitsap,623,7,2017
252,Kittitas,24,7,2017
253,Klickitat,23,7,2017
254,Lewis,52,7,2017
255,Lincoln,2,7,2017
256,Mason,57,7,2017
257,Okanogan,4,7,2017
258,Pacific,10,7,2017
259,Pend Oreille,3,7,2017
260,Pierce,986,7,2017
261,San Juan,112,7,2017
262,Skagit,142,7,2017
263,Skamania,9,7,2017
264,Snohomish,1819,7,2017
265,Spokane,263,7,2017
266,Stevens,8,7,2017
267,Thurston,418,7,2017
268,Wahkiakum,0,7,2017
269,Walla Walla,27,7,2017
270,Whatcom,476,7,2017
271,Whitman,12,7,2017
272,Yakima,49,7,2017
273,Adams,3,8,2017
274,Asotin,8,8,2017
275,Benton,161,8,2017
276,Chelan,72,8,2017
277,Clallam,96,8,2017
278,Clark,794,8,2017
279,Columbia,1,8,2017
280,Cowlitz,50,8,2017
281,Douglas,35,8,2017
282,Ferry,1,8,2017
283,Franklin,27,8,2017
284,Garfield,1,8,2017
285,Grant,19,8,2017
286,Grays Harbor,37,8,2017
287,Island,124,8,2017
288,Jefferson,112,8,2017
289,King,10445,8,2017
290,Kitsap,638,8,2017
291,Kittitas,27,8,2017
292,Klickitat,22,8,2017
293,Lewis,55,8,2017
294,Lincoln,1,8,2017
295,Mason,59,8,2017
296,Okanogan,4,8,2017
297,Pacific,10,8,2017
298,Pend Oreille,3,8,2017
299,Pierce,999,8,2017
300,San Juan,113,8,2017
301,Skagit,141,8,2017
302,Skamania,10,8,2017
303,Snohomish,1848,8,2017
304,Spokane,269,8,2017
305,Stevens,8,8,2017
306,Thurston,421,8,2017
307,Wahkiakum,0,8,2017
308,Walla Walla,27,8,2017
309,Whatcom,483,8,2017
310,Whitman,11,8,2017
311,Yakima,54,8,2017
312,Adams,3,9,2017
313,Asotin,7,9,2017
314,Benton,163,9,2017
315,Chelan,75,9,2017
316,Clallam,95,9,2017
317,Clark,810,9,2017
318,Columbia,1,9,2017
319,Cowlitz,52,9,2017
320,Douglas,35,9,2017
321,Ferry,1,9,2017
322,Franklin,29,9,2017
323,Garfield,1,9,2017
324,Grant,20,9,2017
325,Grays Harbor,38,9,2017
326,Island,129,9,2017
327,Jefferson,114,9,2017
328,King,10658,9,2017
329,Kitsap,654,9,2017
330,Kittitas,33,9,2017
331,Klickitat,23,9,2017
332,Lewis,53,9,2017
333,Lincoln,2,9,2017
334,Mason,61,9,2017
335,Okanogan,5,9,2017
336,Pacific,12,9,2017
337,Pend Oreille,3,9,2017
338,Pierce,1012,9,2017
339,San Juan,117,9,2017
340,Skagit,149,9,2017
341,Skamania,10,9,2017
342,Snohomish,1912,9,2017
343,Spokane,277,9,2017
344,Stevens,8,9,2017
345,Thurston,435,9,2017
346,Wahkiakum,0,9,2017
347,Walla Walla,27,9,2017
348,Whatcom,498,9,2017
349,Whitman,12,9,2017
350,Yakima,57,9,2017
351,Adams,3,10,2017
352,Asotin,7,10,2017
353,Benton,164,10,2017
354,Chelan,77,10,2017
355,Clallam,96,10,2017
356,Clark,829,10,2017
357,Columbia,1,10,2017
358,Cowlitz,54,10,2017
359,Douglas,36,10,2017
360,Ferry,1,10,2017
361,Franklin,31,10,2017
362,Garfield,1,10,2017
363,Grant,20,10,2017
364,Grays Harbor,38,10,2017
365,Island,138,10,2017
366,Jefferson,116,10,2017
367,King,10946,10,2017
368,Kitsap,662,10,2017
369,Kittitas,33,10,2017
370,Klickitat,23,10,2017
371,Lewis,53,10,2017
372,Lincoln,2,10,2017
373,Mason,61,10,2017
374,Okanogan,5,10,2017
375,Pacific,14,10,2017
376,Pend Oreille,3,10,2017
377,Pierce,1040,10,2017
378,San Juan,127,10,2017
379,Skagit,152,10,2017
380,Skamania,10,10,2017
381,Snohomish,1948,10,2017
382,Spokane,287,10,2017
383,Stevens,9,10,2017
384,Thurston,442,10,2017
385,Wahkiakum,0,10,2017
386,Walla Walla,28,10,2017
387,Whatcom,512,10,2017
388,Whitman,12,10,2017
389,Yakima,57,10,2017
390,Adams,3,11,2017
391,Asotin,7,11,2017
392,Benton,165,11,2017
393,Chelan,83,11,2017
394,Clallam,98,11,2017
395,Clark,840,11,2017
396,Columbia,2,11,2017
397,Cowlitz,54,11,2017
398,Douglas,37,11,2017
399,Ferry,1,11,2017
400,Franklin,31,11,2017
401,Garfield,1,11,2017
402,Grant,24,11,2017
403,Grays Harbor,42,11,2017
404,Island,147,11,2017
405,Jefferson,116,11,2017
406,King,11135,11,2017
407,Kitsap,677,11,2017
408,Kittitas,34,11,2017
409,Klickitat,24,11,2017
410,Lewis,53,11,2017
411,Lincoln,2,11,2017
412,Mason,63,11,2017
413,Okanogan,5,11,2017
414,Pacific,15,11,2017
415,Pend Oreille,3,11,2017
416,Pierce,1050,11,2017
417,San Juan,126,11,2017
418,Skagit,160,11,2017
419,Skamania,10,11,2017
420,Snohomish,1988,11,2017
421,Spokane,292,11,2017
422,Stevens,10,11,2017
423,Thurston,457,11,2017
424,Wahkiakum,0,11,2017
425,Walla Walla,29,11,2017
426,Whatcom,525,11,2017
427,Whitman,16,11,2017
428,Yakima,57,11,2017
429,Adams,4,12,2017
430,Asotin,8,12,2017
431,Benton,172,12,2017
432,Chelan,86,12,2017
433,Clallam,99,12,2017
434,Clark,851,12,2017
435,Columbia,2,12,2017
436,Cowlitz,54,12,2017
437,Douglas,38,12,2017
438,Ferry,1,12,2017
439,Franklin,30,12,2017
440,Garfield,1,12,2017
441,Grant,26,12,2017
442,Grays Harbor,42,12,2017
443,Island,155,12,2017
444,Jefferson,121,12,2017
445,King,11282,12,2017
446,Kitsap,694,12,2017
447,Kittitas,35,12,2017
448,Klickitat,24,12,2017
449,Lewis,54,12,2017
450,Lincoln,2,12,2017
451,Mason,66,12,2017
452,Okanogan,7,12,2017
453,Pacific,15,12,2017
454,Pend Oreille,3,12,2017
455,Pierce,1071,12,2017
456,San Juan,132,12,2017
457,Skagit,168,12,2017
458,Skamania,10,12,2017
459,Snohomish,2017,12,2017
460,Spokane,298,12,2017
461,Stevens,10,12,2017
462,Thurston,470,12,2017
463,Wahkiakum,0,12,2017
464,Walla Walla,29,12,2017
465,Whatcom,533,12,2017
466,Whitman,17,12,2017
467,Yakima,59,12,2017
468,Adams,4,1,2018
469,Asotin,8,1,2018
470,Benton,175,1,2018
471,Chelan,94,1,2018
472,Clallam,106,1,2018
473,Clark,873,1,2018
474,Columbia,2,1,2018
475,Cowlitz,54,1,2018
476,Douglas,43,1,2018
477,Ferry,1,1,2018
478,Franklin,31,1,2018
479,Garfield,1,1,2018
480,Grant,29,1,2018
481,Grays Harbor,42,1,2018
482,Island,159,1,2018
483,Jefferson,124,1,2018
484,King,11624,1,2018
485,Kitsap,707,1,2018
486,Kittitas,36,1,2018
487,Klickitat,24,1,2018
488,Lewis,52,1,2018
489,Lincoln,2,1,2018
490,Mason,65,1,2018
491,Okanogan,7,1,2018
492,Pacific,15,1,2018
493,Pend Oreille,4,1,2018
494,Pierce,1095,1,2018
495,San Juan,137,1,2018
496,Skagit,171,1,2018
497,Skamania,11,1,2018
498,Snohomish,2074,1,2018
499,Spokane,301,1,2018
500,Stevens,10,1,2018
501,Thurston,487,1,2018
502,Wahkiakum,0,1,2018
503,Walla Walla,30,1,2018
504,Whatcom,549,1,2018
505,Whitman,18,1,2018
506,Yakima,60,1,2018
507,Adams,5,2,2018
508,Asotin,8,2,2018
509,Benton,175,2,2018
510,Chelan,94,2,2018
511,Clallam,109,2,2018
512,Clark,888,2,2018
513,Columbia,2,2,2018
514,Cowlitz,54,2,2018
515,Douglas,43,2,2018
516,Ferry,1,2,2018
517,Franklin,32,2,2018
518,Garfield,1,2,2018
519,Grant,31,2,2018
520,Grays Harbor,42,2,2018
521,Island,165,2,2018
522,Jefferson,127,2,2018
523,King,11763,2,2018
524,Kitsap,717,2,2018
525,Kittitas,36,2,2018
526,Klickitat,25,2,2018
527,Lewis,52,2,2018
528,Lincoln,2,2,2018
529,Mason,64,2,2018
530,Okanogan,7,2,2018
531,Pacific,15,2,2018
532,Pend Oreille,4,2,2018
533,Pierce,1116,2,2018
534,San Juan,140,2,2018
535,Skagit,173,2,2018
536,Skamania,11,2,2018
537,Snohomish,2089,2,2018
538,Spokane,307,2,2018
539,Stevens,10,2,2018
540,Thurston,492,2,2018
541,Wahkiakum,0,2,2018
542,Walla Walla,31,2,2018
543,Whatcom,557,2,2018
544,Whitman,18,2,2018
545,Yakima,61,2,2018
546,Adams,5,3,2018
547,Asotin,8,3,2018
548,Benton,176,3,2018
549,Chelan,96,3,2018
550,Clallam,119,3,2018
551,Clark,918,3,2018
552,Columbia,2,3,2018
553,Cowlitz,55,3,2018
554,Douglas,42,3,2018
555,Ferry,1,3,2018
556,Franklin,34,3,2018
557,Garfield,1,3,2018
558,Grant,32,3,2018
559,Grays Harbor,45,3,2018
560,Island,175,3,2018
561,Jefferson,132,3,2018
562,King,11976,3,2018
563,Kitsap,741,3,2018
564,Kittitas,40,3,2018
565,Klickitat,26,3,2018
566,Lewis,55,3,2018
567,Lincoln,2,3,2018
568,Mason,68,3,2018
569,Okanogan,7,3,2018
570,Pacific,15,3,2018
571,Pend Oreille,4,3,2018
572,Pierce,1126,3,2018
573,San Juan,140,3,2018
574,Skagit,174,3,2018
575,Skamania,12,3,2018
576,Snohomish,2134,3,2018
577,Spokane,305,3,2018
578,Stevens,9,3,2018
579,Thurston,518,3,2018
580,Wahkiakum,1,3,2018
581,Walla Walla,32,3,2018
582,Whatcom,576,3,2018
583,Whitman,18,3,2018
584,Yakima,63,3,2018
585,Adams,5,4,2018
586,Asotin,8,4,2018
587,Benton,178,4,2018
588,Chelan,98,4,2018
589,Clallam,117,4,2018
590,Clark,943,4,2018
591,Columbia,2,4,2018
592,Cowlitz,55,4,2018
593,Douglas,41,4,2018
594,Ferry,2,4,2018
595,Franklin,37,4,2018
596,Garfield,1,4,2018
597,Grant,31,4,2018
598,Grays Harbor,47,4,2018
599,Island,184,4,2018
600,Jefferson,134,4,2018
601,King,12289,4,2018
602,Kitsap,743,4,2018
603,Kittitas,40,4,2018
604,Klickitat,25,4,2018
605,Lewis,78,4,2018
606,Lincoln,2,4,2018
607,Mason,71,4,2018
608,Okanogan,8,4,2018
609,Pacific,14,4,2018
610,Pend Oreille,4,4,2018
611,Pierce,1154,4,2018
612,San Juan,141,4,2018
613,Skagit,183,4,2018
614,Skamania,12,4,2018
615,Snohomish,2190,4,2018
616,Spokane,319,4,2018
617,Stevens,10,4,2018
618,Thurston,523,4,2018
619,Wahkiakum,1,4,2018
620,Walla Walla,34,4,2018
621,Whatcom,595,4,2018
622,Whitman,20,4,2018
623,Yakima,62,4,2018
624,Adams,5,5,2018
625,Asotin,8,5,2018
626,Benton,188,5,2018
627,Chelan,103,5,2018
628,Clallam,119,5,2018
629,Clark,963,5,2018
630,Columbia,2,5,2018
631,Cowlitz,58,5,2018
632,Douglas,44,5,2018
633,Ferry,2,5,2018
634,Franklin,38,5,2018
635,Garfield,1,5,2018
636,Grant,30,5,2018
637,Grays Harbor,50,5,2018
638,Island,187,5,2018
639,Jefferson,138,5,2018
640,King,12749,5,2018
641,Kitsap,781,5,2018
642,Kittitas,44,5,2018
643,Klickitat,26,5,2018
644,Lewis,78,5,2018
645,Lincoln,2,5,2018
646,Mason,77,5,2018
647,Okanogan,8,5,2018
648,Pacific,16,5,2018
649,Pend Oreille,4,5,2018
650,Pierce,1185,5,2018
651,San Juan,141,5,2018
652,Skagit,199,5,2018
653,Skamania,12,5,2018
654,Snohomish,2282,5,2018
655,Spokane,325,5,2018
656,Stevens,11,5,2018
657,Thurston,548,5,2018
658,Wahkiakum,1,5,2018
659,Walla Walla,34,5,2018
660,Whatcom,614,5,2018
661,Whitman,19,5,2018
662,Yakima,62,5,2018
663,Adams,5,6,2018
664,Asotin,9,6,2018
665,Benton,192,6,2018
666,Chelan,110,6,2018
667,Clallam,124,6,2018
668,Clark,1009,6,2018
669,Columbia,2,6,2018
670,Cowlitz,55,6,2018
671,Douglas,43,6,2018
672,Ferry,3,6,2018
673,Franklin,39,6,2018
674,Garfield,1,6,2018
675,Grant,31,6,2018
676,Grays Harbor,52,6,2018
677,Island,197,6,2018
678,Jefferson,144,6,2018
679,King,13173,6,2018
680,Kitsap,797,6,2018
681,Kittitas,47,6,2018
682,Klickitat,25,6,2018
683,Lewis,80,6,2018
684,Lincoln,2,6,2018
685,Mason,82,6,2018
686,Okanogan,9,6,2018
687,Pacific,17,6,2018
688,Pend Oreille,5,6,2018
689,Pierce,1228,6,2018
690,San Juan,145,6,2018
691,Skagit,207,6,2018
692,Skamania,11,6,2018
693,Snohomish,2350,6,2018
694,Spokane,341,6,2018
695,Stevens,11,6,2018
696,Thurston,572,6,2018
697,Wahkiakum,1,6,2018
698,Walla Walla,34,6,2018
699,Whatcom,633,6,2018
700,Whitman,19,6,2018
701,Yakima,60,6,2018
702,Adams,5,7,2018
703,Asotin,11,7,2018
704,Benton,193,7,2018
705,Chelan,112,7,2018
706,Clallam,127,7,2018
707,Clark,1042,7,2018
708,Columbia,2,7,2018
709,Cowlitz,57,7,2018
710,Douglas,43,7,2018
711,Ferry,3,7,2018
712,Franklin,38,7,2018
713,Garfield,1,7,2018
714,Grant,33,7,2018
715,Grays Harbor,54,7,2018
716,Island,206,7,2018
717,Jefferson,147,7,2018
718,King,13485,7,2018
719,Kitsap,810,7,2018
720,Kittitas,48,7,2018
721,Klickitat,24,7,2018
722,Lewis,83,7,2018
723,Lincoln,3,7,2018
724,Mason,87,7,2018
725,Okanogan,9,7,2018
726,Pacific,19,7,2018
727,Pend Oreille,5,7,2018
728,Pierce,1262,7,2018
729,San Juan,149,7,2018
730,Skagit,216,7,2018
731,Skamania,13,7,2018
732,Snohomish,2405,7,2018
733,Spokane,348,7,2018
734,Stevens,11,7,2018
735,Thurston,577,7,2018
736,Wahkiakum,1,7,2018
737,Walla Walla,34,7,2018
738,Whatcom,639,7,2018
739,Whitman,19,7,2018
740,Yakima,65,7,2018
741,Adams,5,8,2018
742,Asotin,11,8,2018
743,Benton,189,8,2018
744,Chelan,114,8,2018
745,Clallam,128,8,2018
746,Clark,1069,8,2018
747,Columbia,2,8,2018
748,Cowlitz,62,8,2018
749,Douglas,45,8,2018
750,Ferry,2,8,2018
751,Franklin,36,8,2018
752,Garfield,1,8,2018
753,Grant,34,8,2018
754,Grays Harbor,54,8,2018
755,Island,216,8,2018
756,Jefferson,152,8,2018
757,King,13807,8,2018
758,Kitsap,829,8,2018
759,Kittitas,51,8,2018
760,Klickitat,24,8,2018
761,Lewis,83,8,2018
762,Lincoln,3,8,2018
763,Mason,92,8,2018
764,Okanogan,10,8,2018
765,Pacific,19,8,2018
766,Pend Oreille,5,8,2018
767,Pierce,1303,8,2018
768,San Juan,152,8,2018
769,Skagit,221,8,2018
770,Skamania,14,8,2018
771,Snohomish,2472,8,2018
772,Spokane,361,8,2018
773,Stevens,12,8,2018
774,Thurston,603,8,2018
775,Wahkiakum,1,8,2018
776,Walla Walla,34,8,2018
777,Whatcom,655,8,2018
778,Whitman,20,8,2018
779,Yakima,67,8,2018
780,Adams,5,9,2018
781,Asotin,11,9,2018
782,Benton,188,9,2018
783,Chelan,117,9,2018
784,Clallam,129,9,2018
785,Clark,1089,9,2018
786,Columbia,2,9,2018
787,Cowlitz,63,9,2018
788,Douglas,48,9,2018
789,Ferry,2,9,2018
790,Franklin,37,9,2018
791,Garfield,1,9,2018
792,Grant,33,9,2018
793,Grays Harbor,55,9,2018
794,Island,227,9,2018
795,Jefferson,153,9,2018
796,King,14209,9,2018
797,Kitsap,842,9,2018
798,Kittitas,55,9,2018
799,Klickitat,24,9,2018
800,Lewis,84,9,2018
801,Lincoln,2,9,2018
802,Mason,94,9,2018
803,Okanogan,10,9,2018
804,Pacific,18,9,2018
805,Pend Oreille,5,9,2018
806,Pierce,1325,9,2018
807,San Juan,161,9,2018
808,Skagit,223,9,2018
809,Skamania,15,9,2018
810,Snohomish,2517,9,2018
811,Spokane,360,9,2018
812,Stevens,13,9,2018
813,Thurston,621,9,2018
814,Wahkiakum,1,9,2018
815,Walla Walla,36,9,2018
816,Whatcom,668,9,2018
817,Whitman,20,9,2018
818,Yakima,67,9,2018
819,Adams,5,10,2018
820,Asotin,12,10,2018
821,Benton,192,10,2018
822,Chelan,126,10,2018
823,Clallam,136,10,2018
824,Clark,1149,10,2018
825,Columbia,2,10,2018
826,Cowlitz,69,10,2018
827,Douglas,47,10,2018
828,Ferry,3,10,2018
829,Franklin,35,10,2018
830,Garfield,1,10,2018
