Date,Plug-In Hybrid Electric Vehicle (PHEV) Count,Battery Electric Vehicle (BEV) Count,Electric Vehicle (EV) Total
January 31 2017,7687,14738,22425
February 28 2017,7888,15206,23094
March 31 2017,8092,15596,23688
April 30 2017,8286,16104,24390
May 31 2017,8497,16569,25066
June 30 2017,8751,16986,25737
July 31 2017,8931,17379,26310
August 31 2017,9147,17678,26825
September 30 2017,9374,18078,27452
October 31 2017,9649,18524,28173
November 30 2017,9888,18877,28765
December 31 2017,10120,19185,29305
January 31 2018,10534,19733,30267
February 28 2018,10833,19976,30809
March 31 2018,11180,20393,31573
April 30 2018,11514,20924,32438
May 31 2018,11933,21701,33634
June 30 2018,12356,22434,34790
July 31 2018,12649,22984,35633
August 31 2018,12963,23577,36540
September 30 2018,13292,24162,37454
October 31 2018,13640,25518,39158
November 30 2018,14020,26780,40800
December 31 2018,14343,27721,42064
January 31 2019,14726,29110,43836
February 28 2019,14891,29687,44578
March 31 2019,15039,30028,45067
April 30 2019,15294,31049,46343
May 31 2019,15559,31745,47304
June 30 2019,15808,32576,48384
July 31 2019,16071,33558,49629
August 31 2019,16275,34307,50582
September 30 2019,16507,35074,51581
October 31 2019,16788,36649,53437
November 30 2019,16960,37101,54061
December 31 2019,17130,37754,54884
January 31 2020,17353,39785,57138
February 29 2020,17465,40267,57732
March 31 2020,17607,41000,58607
April 30 2020,17566,41345,58911
May 31 2020,17579,41337,58916
June 30 2020,17679,41599,59278
July 31 2020,17815,42999,60814
August 31 2020,17962,43597,61559
September 30 2020,18173,44166,62339
October 31 2020,18427,45183,63610
November 30 2020,18601,46541,65142
December 31 2020,18891,47339,66230
January 31 2021,19223,48907,68130
February 28 2021,19511,49775,69286
March 31 2021,19867,50600,70467
April 30 2021,20324,52466,72790
May 31 2021,20726,53711,74437
June 30 2021,21314,54831,76145
July 31 2021,21718,56880,78598
August 31 2021,22133,58404,80537
September 30 2021,22460,59603,82063
October 31 2021,22872,61327,84199
November 30 2021,23281,62963,86244
December 31 2021,23561,64465,88026
January 31 2022,23897,66056,89953
February 28 2022,24201,67653,91854
March 31 2022,24655,69250,93905
April 30 2022,25013,71651,96664
May 31 2022,25481,73038,98519
June 30 2022,25994,74721,100715
July 31 2022,26298,77175,103473
August 31 2022,26752,79487,106239
September 30 2022,27093,80958,108051
October 31 2022,27444,84233,111677
November 30 2022,27793,87542,115335
December 31 2022,28214,89907,118121
January 31 2023,28744,93192,121936
February 28 2023,29288,95649,124937
March 31 2023,29951,98191,128142
April 30 2023,30883,101551,132434
May 31 2023,31651,105040,136691
June 30 2023,32497,108557,141054
July 31 2023,33081,112115,145196
August 31 2023,33864,117403,151267
September 30 2023,34434,119396,153830
