Date,Price
01-Sep-23,"4,409.10"
01-Aug-23,"4,457.36"
01-Jul-23,"4,508.08"
01-Jun-23,"4,345.37"
01-May-23,"4,146.17"
01-Apr-23,"4,121.47"
01-Mar-23,"3,968.56"
01-Feb-23,"4,079.68"
01-Jan-23,"3,960.66"
01-Dec-22,"3,912.38"
01-Nov-22,"3,917.49"
01-Oct-22,"3,726.05"
01-Sep-22,"3,850.52"
01-Aug-22,"4,158.56"
01-Jul-22,"3,911.73"
01-Jun-22,"3,898.95"
01-May-22,"4,040.36"
01-Apr-22,"4,391.30"
01-Mar-22,"4,391.27"
01-Feb-22,"4,435.98"
01-Jan-22,"4,573.82"
01-Dec-21,"4,674.77"
01-Nov-21,"4,667.39"
01-Oct-21,"4,460.71"
01-Sep-21,"4,445.54"
01-Aug-21,"4,454.21"
01-Jul-21,"4,363.71"
01-Jun-21,"4,238.49"
01-May-21,"4,167.85"
01-Apr-21,"4,141.18"
01-Mar-21,"3,910.51"
01-Feb-21,"3,883.43"
01-Jan-21,"3,793.75"
01-Dec-20,"3,695.31"
01-Nov-20,"3,548.99"
01-Oct-20,"3,418.70"
01-Sep-20,"3,365.52"
01-Aug-20,"3,391.71"
01-Jul-20,"3,207.62"
01-Jun-20,"3,104.66"
01-May-20,"2,919.61"
01-Apr-20,"2,761.98"
01-Mar-20,"2,652.39"
01-Feb-20,"3,277.31"
01-Jan-20,"3,278.20"
01-Dec-19,"3,176.75"
01-Nov-19,"3,104.90"
01-Oct-19,"2,977.68"
01-Sep-19,"2,982.16"
01-Aug-19,"2,897.50"
01-Jul-19,"2,996.11"
01-Jun-19,"2,890.17"
01-May-19,"2,854.71"
01-Apr-19,"2,903.80"
01-Mar-19,"2,803.98"
01-Feb-19,"2,754.86"
01-Jan-19,"2,607.39"
01-Dec-18,"2,567.31"
01-Nov-18,"2,723.23"
01-Oct-18,"2,785.46"
01-Sep-18,"2,901.50"
01-Aug-18,"2,857.82"
01-Jul-18,"2,793.64"
01-Jun-18,"2,754.35"
01-May-18,"2,701.49"
01-Apr-18,"2,653.63"
01-Mar-18,"2,702.77"
01-Feb-18,"2,705.16"
01-Jan-18,"2,789.80"
01-Dec-17,"2,664.34"
01-Nov-17,"2,593.61"
01-Oct-17,"2,557.00"
01-Sep-17,"2,492.84"
01-Aug-17,"2,456.22"
01-Jul-17,"2,454.10"
01-Jun-17,"2,433.99"
01-May-17,"2,395.35"
01-Apr-17,"2,359.31"
01-Mar-17,"2,366.82"
01-Feb-17,"2,329.91"